global_step,epoch,train/loss,time/wall_clock_sec,time/step_time_sec,sampler/query_norm,correction/weight_mean,correction/weight_min,correction/weight_max,correction/weight_clipped_frac,lsh/refresh_count,lsh/refresh_time_sec,sampler/p_mean,sampler/p_min,sampler/p_max,sampler/cp_mean,sampler/cpK_mean,sampler/bucket_size_mean,sampler/bucket_size_max,sampler/attempts_mean,sampler/fallback_rate,sampler/probability_clamped_frac,sampler/unique_count,sampler/duplicate_count,sampler/duplicate_frac,sampler/resample_count_mean,sample/unique_count,sample/duplicate_count,sample/duplicate_frac,sample/label0_count,sample/label1_count,sample/fallback_count,sample/mean_p,sample/min_p,sample/max_p,sample/mean_bucket_size,sample/resample_count_sum,sampler/unique_count_batch,sampler/duplicate_count_batch,sampler/duplicate_frac_batch,sampler/label0_count_batch,sampler/label1_count_batch,sampler/coverage_so_far,lsh/initial_refresh_time_sec,lsh/representation_norm_mean,lsh/representation_norm_std,lsh/representation_cosine_mean,lsh/representation_cosine_drift_mean,lsh/representation_cosine_drift_p95,lsh/bucket_assignment_changed_frac
1,0.0,0.8286861181259155,0.3998584747314453,0.3984529972076416,0.803254246711731,1.0,1.0,1.0,0.0,1,0.0,0.006405912608903061,5.686346450693346e-05,0.1288053597981779,0.5007105187995896,0.12568673527018503,550.15625,2334.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,14,18,0,0.006405912608903061,5.686346450693346e-05,0.1288053597981779,550.15625,0,32,0,0.0,14,18,0.008724100327153763,12.314428806304932,,,,,,
2,0.008695652173913044,0.8078190088272095,0.5142536163330078,0.10329532623291016,0.8032132983207703,1.0,1.0,1.0,0.0,1,0.0,0.002905010027975798,5.6001076827989135e-05,0.03374975324795388,0.50087005334626,0.1257816637649118,645.5,2061.0,1.0625,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,14,18,0,0.002905010027975798,5.6001076827989135e-05,0.03374975324795388,645.5,0,32,0,0.0,14,18,0.017448200654307525,,,,,,,
3,0.017391304347826087,0.8346614241600037,0.7507786750793457,0.0999763011932373,0.8031740784645081,1.0,1.0,1.0,0.0,1,0.0,0.003522715390773497,6.413148665326009e-05,0.03001321659396396,0.5040295199495698,0.12817139749259535,608.75,2072.0,1.0625,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,12,20,0,0.003522715390773497,6.413148665326009e-05,0.03001321659396396,608.75,0,32,0,0.0,12,20,0.025627044711014176,,,,,,,
4,0.02608695652173913,0.7398138642311096,0.9907925128936768,0.10285639762878418,0.8031361699104309,1.0,1.0,1.0,0.0,1,0.0,0.014311851492237935,6.440205833309207e-05,0.12883055143193345,0.5011273073751421,0.12598143030769937,501.53125,2069.0,1.0625,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,16,16,0,0.014311851492237935,6.440205833309207e-05,0.12883055143193345,501.53125,0,32,0,0.0,16,16,0.03326063249727372,,,,,,,
5,0.034782608695652174,0.8522338271141052,1.2312207221984863,0.10464978218078613,0.8031020164489746,1.0,1.0,1.0,0.0,1,0.0,0.006841257889335069,5.6375189287562365e-05,0.1288385111731295,0.5056003900005202,0.12934603697324398,615.0625,2325.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,8,24,0,0.006841257889335069,5.6375189287562365e-05,0.1288385111731295,615.0625,0,32,0,0.0,8,24,0.04116684841875681,,,,,,,
6,0.043478260869565216,0.7249228954315186,1.4738662242889404,0.1097419261932373,0.8030683994293213,1.0,1.0,1.0,0.0,1,0.0,0.003188193897176677,5.602285767980988e-05,0.030036028225681497,0.5004679111501855,0.12547298151628197,502.40625,2022.0,1.09375,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,15,17,0,0.003188193897176677,5.602285767980988e-05,0.030036028225681497,502.40625,0,32,0,0.0,15,17,0.0485278080697928,,,,,,,
7,0.05217391304347826,0.7582622766494751,1.7068369388580322,0.10485625267028809,0.8030385375022888,1.0,1.0,1.0,0.0,1,0.0,0.0017313610859841326,5.684757025358045e-05,0.01613413661251486,0.5033309779714357,0.12765426981811986,595.34375,2018.0,1.0625,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,9,23,0,0.0017313610859841326,5.684757025358045e-05,0.01613413661251486,595.34375,0,32,0,0.0,9,23,0.0564340239912759,,,,,,,
8,0.06086956521739131,0.6766474843025208,1.9510881900787354,0.11008763313293457,0.8030107617378235,1.0,1.0,1.0,0.0,1,0.0,0.009818111489113313,7.022112310854897e-05,0.1200128615426949,0.500324852231124,0.12539227976072775,341.78125,1827.0,1.15625,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,17,15,0,0.009818111489113313,7.022112310854897e-05,0.1200128615426949,341.78125,0,32,0,0.0,17,15,0.06297709923664122,,,,,,,
9,0.06956521739130435,0.7019147276878357,2.191697835922241,0.11431288719177246,0.8029881119728088,1.0,1.0,1.0,0.0,1,0.0,0.0055378775195497765,5.4441125756169065e-05,0.12886909262688942,0.5029258465634032,0.12734682553343366,620.84375,2328.0,1.25,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,9,23,0,0.0055378775195497765,5.4441125756169065e-05,0.12886909262688942,620.84375,0,32,0,0.0,9,23,0.07061068702290077,,,,,,,
10,0.0782608695652174,0.644436240196228,2.4216766357421875,0.10608720779418945,0.8029681444168091,1.0,1.0,1.0,0.0,1,0.0,0.006860321801255362,6.336861315543415e-05,0.1288760631574446,0.5051500345979902,0.129021949255831,526.03125,2065.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,10,22,0,0.006860321801255362,6.336861315543415e-05,0.1288760631574446,526.03125,0,32,0,0.0,10,22,0.07742639040348964,,,,,,,
