global_step,epoch,train/loss,time/wall_clock_sec,time/step_time_sec,sampler/query_norm,correction/weight_mean,correction/weight_min,correction/weight_max,correction/weight_clipped_frac,lsh/refresh_count,lsh/refresh_time_sec,sampler/p_mean,sampler/p_min,sampler/p_max,sampler/cp_mean,sampler/cpK_mean,sampler/bucket_size_mean,sampler/bucket_size_max,sampler/attempts_mean,sampler/fallback_rate,sampler/probability_clamped_frac,sampler/unique_count,sampler/duplicate_count,sampler/duplicate_frac,sampler/resample_count_mean,sample/unique_count,sample/duplicate_count,sample/duplicate_frac,sample/label0_count,sample/label1_count,sample/fallback_count,sample/mean_p,sample/min_p,sample/max_p,sample/mean_bucket_size,sample/resample_count_sum,sampler/unique_count_batch,sampler/duplicate_count_batch,sampler/duplicate_frac_batch,sampler/label0_count_batch,sampler/label1_count_batch,sampler/coverage_so_far,lsh/initial_refresh_time_sec,lsh/representation_norm_mean,lsh/representation_norm_std,lsh/representation_cosine_mean,lsh/representation_cosine_drift_mean,lsh/representation_cosine_drift_p95,lsh/bucket_assignment_changed_frac
1,0.0,0.9018659591674805,0.47791028022766113,0.47696518898010254,0.803254246711731,1.0,1.0,1.0,0.0,1,0.0,0.0018298463752030307,2.7212577152937577e-05,0.023441065573681953,0.5012134118881284,0.06324335117865769,504.78125,2331.0,1.28125,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,11,21,0,0.0018298463752030307,2.7212577152937577e-05,0.023441065573681953,504.78125,0,32,0,0.0,11,21,0.008724100327153763,13.020432949066162,,,,,,
2,0.008695652173913044,0.8964431285858154,0.587587833404541,0.09965300559997559,0.8032132983207703,1.0,1.0,1.0,0.0,1,0.0,0.0033576195224979026,3.437803522602639e-05,0.02344346708153833,0.5023377965105291,0.06387477804438846,262.25,1917.0,1.59375,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,10,22,0,0.0033576195224979026,3.437803522602639e-05,0.02344346708153833,262.25,0,32,0,0.0,10,22,0.01717557251908397,,,,,,,
3,0.017391304347826087,0.8701878190040588,0.8205404281616211,0.10395336151123047,0.8031738996505737,1.0,1.0,1.0,0.0,1,0.0,0.0016784761025317868,2.867696340426225e-05,0.011858315691858532,0.5044023812596781,0.0648631313608454,507.90625,2329.0,1.25,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,10,22,0,0.0016784761025317868,2.867696340426225e-05,0.011858315691858532,507.90625,0,32,0,0.0,10,22,0.025627044711014176,,,,,,,
4,0.02608695652173913,0.8706252574920654,1.0506408214569092,0.10638594627380371,0.8031362295150757,1.0,1.0,1.0,0.0,1,0.0,0.005096705616802834,2.7446418300221377e-05,0.065746656572642,0.5033633075088346,0.06433597220649688,373.90625,2328.0,1.53125,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,8,24,0,0.005096705616802834,2.7446418300221377e-05,0.065746656572642,373.90625,0,32,0,0.0,8,24,0.03298800436205016,,,,,,,
5,0.034782608695652174,0.7495365142822266,1.2883059978485107,0.11209225654602051,0.8031002879142761,1.0,1.0,1.0,0.0,1,0.0,0.004705559618668631,5.4247164165070126e-05,0.07076032096503813,0.5018575419160539,0.06358031566079801,175.75,1069.0,1.53125,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,14,18,0,0.004705559618668631,5.4247164165070126e-05,0.07076032096503813,175.75,0,32,0,0.0,14,18,0.04034896401308615,,,,,,,
6,0.043478260869565216,0.7191729545593262,1.5306117534637451,0.1186830997467041,0.8030683398246765,1.0,1.0,1.0,0.0,1,0.0,0.0037810452533646073,3.111257147951663e-05,0.06575953923847179,0.5002393868092949,0.06279484812308961,330.1875,2331.0,1.15625,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,15,17,0,0.0037810452533646073,3.111257147951663e-05,0.06575953923847179,330.1875,0,32,0,0.0,15,17,0.04798255179934569,,,,,,,
7,0.05217391304347826,0.6962159872055054,1.7726666927337646,0.11794853210449219,0.8030405640602112,1.0,1.0,1.0,0.0,1,0.0,0.002804885693930736,2.8295346364390524e-05,0.0218045097512752,0.5019034389899948,0.06363421918486943,316.09375,2320.0,1.34375,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,15,17,0,0.002804885693930736,2.8295346364390524e-05,0.0218045097512752,316.09375,0,32,0,0.0,15,17,0.05507088331515812,,,,,,,
8,0.06086956521739131,0.6882318258285522,2.0091354846954346,0.11576080322265625,0.8030171990394592,1.0,1.0,1.0,0.0,1,0.0,0.005827577163554544,2.8360817830136254e-05,0.06496701551951813,0.502268471683983,0.06379245573555298,299.375,2323.0,1.4375,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,12,20,0,0.005827577163554544,2.8360817830136254e-05,0.06496701551951813,299.375,0,32,0,0.0,12,20,0.061068702290076333,,,,,,,
9,0.06956521739130435,0.6799325942993164,2.2531535625457764,0.12261652946472168,0.8029975891113281,1.0,1.0,1.0,0.0,1,0.0,0.004865403986440605,2.6314637661712884e-05,0.07078632132919148,0.5034785770967042,0.06440948060107547,538.5,2331.0,1.3125,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,11,21,0,0.004865403986440605,2.6314637661712884e-05,0.07078632132919148,538.5,0,32,0,0.0,11,21,0.06788440567066521,,,,,,,
10,0.0782608695652174,0.6559484004974365,2.4908974170684814,0.1184241771697998,0.8029812574386597,1.0,1.0,1.0,0.0,1,0.0,0.0037384582565939675,3.516727517146e-05,0.07079192051545193,0.50280527295625,0.06407877135431254,280.4375,1915.0,1.5,0.0,0.0,32.0,0.0,0.0,0.0,32,0,0.0,12,20,0,0.0037384582565939675,3.516727517146e-05,0.07079192051545193,280.4375,0,32,0,0.0,12,20,0.07442748091603053,,,,,,,
